User,Reaction Type,Reaction Date
3741,Comment,1588168107
711,Emoticon,1588166846
701,Emoticon,1588163334
4750,Emoticon,1588168182
656,Comment,1588162272
673,Like,1588165271
6204,Emoticon,1588165833
5313,Like,1588167680
5164,Like,1588164462
833,Comment,1588168814
733,Emoticon,1588166049
717,Like,1588164791
641,Emoticon,1588162893
734,Emoticon,1588164089
465,Emoticon,1588162297
5013,Comment,1588163019
635,Emoticon,1588162873
5837,Emoticon,1588165163
676,Emoticon,1588169125
4273,Comment,1588163090
7811,Like,1588166386
4351,Comment,1588163300
709,Comment,1588166202
2974,Like,1588162947
674,Like,1588168698
646,Like,1588163874
697,Like,1588162406
6204,Like,1588165886
645,Like,1588164890
788,Emoticon,1588165169
66,Emoticon,1588165187
2812,Comment,1588164416
7738,Comment,1588166735
3402,Comment,1588165031
7950,Emoticon,1588162534
8019,Emoticon,1588165987
8948,Like,1588164782
680,Comment,1588164568
7270,Like,1588163605
1887,Like,1588161868
7738,Emoticon,1588167601
708,Comment,1588165571
726,Comment,1588167147
1500,Like,1588165906
708,Like,1588165351
642,Comment,1588168639
699,Emoticon,1588164194
670,Comment,1588165884
2549,Emoticon,1588167191
75,Emoticon,1588165835
5013,Comment,1588161955
6525,Comment,1588164260
730,Comment,1588166386
705,Like,1588166548
674,Like,1588164097
65,Emoticon,1588165364
646,Emoticon,1588164585
5187,Comment,1588161920
658,Comment,1588164335
5313,Like,1588163781
2930,Emoticon,1588167254
736,Comment,1588164262
7124,Emoticon,1588167897
734,Emoticon,1588168539
1946,Emoticon,1588169266
727,Comment,1588164932
1946,Emoticon,1588163820
6988,Emoticon,1588161508
713,Emoticon,1588166252
5521,Comment,1588167023
647,Comment,1588165719
1616,Like,1588167088
2549,Emoticon,1588163304
654,Like,1588166501
723,Emoticon,1588163208
2466,Comment,1588163425
659,Comment,1588166675
681,Comment,1588164017
651,Emoticon,1588164149
69,Emoticon,1588163997
643,Comment,1588168022
3753,Comment,1588162486
465,Like,1588165331
688,Comment,1588163649
642,Comment,1588166431
678,Like,1588164841
721,Emoticon,1588165826
636,Like,1588161922
677,Emoticon,1588164898
735,Comment,1588165229
710,Like,1588166993
719,Emoticon,1588166891
672,Emoticon,1588165546
6071,Comment,1588160703
695,Like,1588166680
118,Emoticon,1588168109
465,Like,1588165298
764,Emoticon,1588167260
664,Comment,1588166038
6525,Comment,1588165588
1167,Comment,1588166423
692,Emoticon,1588165382
2141,Like,1588164163
4018,Emoticon,1588163160
2753,Like,1588160845
1074,Like,1588169457
2957,Comment,1588164467
67,Emoticon,1588167988
2238,Comment,1588165357
706,Emoticon,1588167154
659,Emoticon,1588168500
8729,Like,1588168722
691,Comment,1588161835
737,Comment,1588166151
642,Like,1588164591
714,Like,1588165903
5837,Comment,1588162504
708,Comment,1588165219
673,Emoticon,1588162441
5187,Comment,1588167989
8592,Emoticon,1588163603
635,Emoticon,1588163874
2930,Comment,1588166952
636,Comment,1588164677
4591,Like,1588167858
650,Like,1588167945
658,Like,1588164562
2974,Comment,1588164887
2238,Like,1588165156
3558,Emoticon,1588166024
710,Emoticon,1588165344
638,Like,1588163999
4591,Comment,1588159963
1792,Comment,1588162365
7215,Like,1588162857
685,Comment,1588162455
641,Emoticon,1588165543
3753,Comment,1588165179
8285,Like,1588164715
516,Comment,1588166372
764,Emoticon,1588170241
8285,Like,1588168348
716,Comment,1588163696
2400,Comment,1588164371
4620,Like,1588164529
727,Comment,1588165920
6715,Emoticon,1588165998
7811,Like,1588164783
702,Emoticon,1588164657
5921,Like,1588164520
67,Like,1588165943
713,Comment,1588165224
4620,Comment,1588161427
642,Like,1588164910
1603,Comment,1588165765
660,Like,1588168050
287,Comment,1588168706
4727,Emoticon,1588166275
661,Like,1588162826
5921,Comment,1588162665
713,Comment,1588163286
66,Like,1588164316
652,Comment,1588166051
5187,Like,1588162142
731,Comment,1588164292
725,Emoticon,1588166684
691,Emoticon,1588166506
2096,Like,1588165719
681,Like,1588163742
7815,Emoticon,1588164696
2238,Comment,1588168762
7738,Like,1588163372
3753,Like,1588164734
833,Like,1588164679
4740,Comment,1588164937
729,Emoticon,1588164934
682,Comment,1588166577
287,Like,1588166247
3611,Like,1588167664
4902,Comment,1588167472
714,Comment,1588163928
671,Comment,1588166196
72,Comment,1588163539
688,Comment,1588166501
2466,Emoticon,1588161338
717,Like,1588170421
4740,Like,1588166316
6572,Like,1588162491
684,Comment,1588166799
710,Comment,1588166411
644,Emoticon,1588167839
7241,Like,1588165427
648,Like,1588163721
715,Emoticon,1588163666
713,Like,1588165107
713,Like,1588164967
1500,Comment,1588165205
9139,Comment,1588162936
8160,Emoticon,1588164512
684,Comment,1588164676
706,Like,1588168197
701,Emoticon,1588165598
1595,Emoticon,1588166656
4915,Comment,1588162289
653,Like,1588165922
721,Emoticon,1588164690
736,Like,1588166960
690,Comment,1588163612
7811,Comment,1588165760
644,Comment,1588165427
7814,Emoticon,1588168176
705,Like,1588164023
705,Comment,1588165630
67,Like,1588165498
681,Emoticon,1588164841
415,Like,1588164364
713,Comment,1588164530
3611,Emoticon,1588162853
7950,Comment,1588161542
2473,Comment,1588167414
5837,Comment,1588166112
2238,Emoticon,1588164306
680,Like,1588165620
695,Emoticon,1588161299
695,Comment,1588163722
7738,Comment,1588161567
672,Comment,1588165272
5187,Emoticon,1588167123
7045,Emoticon,1588165332
716,Emoticon,1588166354
7821,Emoticon,1588165386
66,Emoticon,1588163748
7812,Comment,1588167013
703,Like,1588161846
3390,Comment,1588165952
4915,Emoticon,1588167338
9139,Comment,1588165093
1603,Like,1588165626
3808,Like,1588165173
71,Emoticon,1588168385
4591,Comment,1588162671
17,Like,1588166360
8285,Like,1588164875
636,Like,1588163799
9139,Like,1588165541
643,Comment,1588165581
7815,Like,1588165603
75,Comment,1588166509
695,Emoticon,1588169134
707,Emoticon,1588167038
71,Comment,1588170534
4750,Emoticon,1588164050
677,Emoticon,1588166826
636,Comment,1588166329
415,Comment,1588167964
66,Like,1588166019
670,Comment,1588161592
723,Like,1588166005
7215,Emoticon,1588165203
415,Like,1588162393
714,Emoticon,1588165459
4740,Comment,1588164794
5837,Like,1588161386
2395,Like,1588166464
678,Comment,1588167990
737,Like,1588170609
7811,Comment,1588166351
690,Like,1588165244
6525,Comment,1588166927
68,Like,1588164522
8160,Like,1588165138
5164,Like,1588166944
643,Comment,1588166080
696,Emoticon,1588163753
684,Comment,1588165477
4915,Comment,1588165131
685,Emoticon,1588163688
714,Emoticon,1588166993
642,Emoticon,1588166422
2466,Comment,1588161354
2400,Emoticon,1588162831
1887,Like,1588162806
4727,Emoticon,1588167667
730,Like,1588165193
1616,Like,1588166885
17,Comment,1588164113
709,Like,1588166793
7821,Comment,1588163033
8222,Like,1588166355
2650,Emoticon,1588164654
465,Comment,1588169508
706,Comment,1588164791
702,Like,1588164671
2466,Like,1588163260
1518,Emoticon,1588166626
6525,Like,1588163670
1500,Emoticon,1588167590
2105,Comment,1588164773
716,Comment,1588165839
641,Comment,1588164830
68,Like,1588165402
4273,Emoticon,1588164284
660,Like,1588166010
694,Like,1588170636
2466,Comment,1588166885
4273,Comment,1588167554
7817,Like,1588167513
641,Like,1588164893
680,Emoticon,1588164412
716,Emoticon,1588167908
653,Comment,1588167977
678,Emoticon,1588167383
4750,Emoticon,1588163223
681,Like,1588164502
8682,Like,1588163150
662,Like,1588165172
7950,Like,1588166689
2792,Like,1588163556
710,Comment,1588168224
5921,Emoticon,1588163314
660,Like,1588167098
720,Comment,1588168353
71,Emoticon,1588164599
2466,Emoticon,1588168051
7811,Like,1588163677
5679,Comment,1588167058
681,Like,1588167879
642,Comment,1588163999
648,Emoticon,1588164178
3611,Like,1588164926
1946,Comment,1588161576
697,Comment,1588168899
711,Like,1588165950
669,Comment,1588164103
652,Comment,1588166566
7677,Emoticon,1588160822
8948,Like,1588163941
665,Emoticon,1588164767
2957,Comment,1588167049
8222,Comment,1588164935
4902,Emoticon,1588169639
4727,Like,1588168325
680,Emoticon,1588161874
660,Like,1588164687
4750,Comment,1588165284
7821,Like,1588163443
7810,Comment,1588166526
706,Like,1588167423
724,Comment,1588161571
7810,Comment,1588167642
67,Like,1588166565
1931,Emoticon,1588165562
716,Emoticon,1588164479
72,Emoticon,1588163655
699,Comment,1588164055
7821,Emoticon,1588162613
4018,Like,1588164409
8592,Emoticon,1588167024
6715,Like,1588166244
68,Comment,1588161485
711,Like,1588161950
8948,Emoticon,1588166003
2792,Like,1588167961
7950,Like,1588165515
640,Comment,1588166531
5679,Emoticon,1588167151
8729,Like,1588164026
7124,Emoticon,1588164541
639,Comment,1588167645
4395,Emoticon,1588166745
702,Emoticon,1588160054
690,Emoticon,1588167364
7811,Comment,1588164951
3592,Comment,1588164777
656,Like,1588163192
692,Comment,1588164742
648,Comment,1588169188
2963,Like,1588166432
6204,Like,1588164492
737,Like,1588165409
808,Emoticon,1588164835
700,Emoticon,1588164950
717,Comment,1588167133
5187,Comment,1588162929
725,Emoticon,1588164254
8285,Like,1588161069
72,Emoticon,1588168691
653,Like,1588163480
733,Like,1588164809
640,Emoticon,1588160810
657,Like,1588162622
693,Like,1588163000
6204,Emoticon,1588165766
2400,Like,1588166820
3558,Comment,1588165649
703,Comment,1588164565
734,Comment,1588164797
5921,Emoticon,1588162358
727,Like,1588166206
715,Comment,1588166414
689,Emoticon,1588164297
689,Emoticon,1588164348
17,Comment,1588165903
7821,Like,1588169053
71,Like,1588166030
733,Comment,1588166686
692,Comment,1588164220
649,Like,1588166055
651,Comment,1588164292
687,Like,1588163864
645,Emoticon,1588164604
3402,Comment,1588163514
693,Emoticon,1588166766
7813,Comment,1588163031
4351,Emoticon,1588161509
640,Emoticon,1588163684
642,Like,1588162986
653,Comment,1588161730
6572,Like,1588164275
7604,Like,1588168103
690,Like,1588164946
2400,Emoticon,1588167007
5187,Like,1588167001
3611,Emoticon,1588161805
685,Emoticon,1588165780
8222,Comment,1588167453
9087,Comment,1588163066
5013,Emoticon,1588161456
8160,Like,1588166718
5521,Comment,1588164182
8647,Emoticon,1588163422
7508,Emoticon,1588166439
691,Emoticon,1588162400
2466,Emoticon,1588168713
662,Emoticon,1588167973
1509,Comment,1588166171
4750,Comment,1588163191
667,Emoticon,1588168082
1616,Emoticon,1588163431
67,Like,1588163774
1500,Emoticon,1588167096
724,Emoticon,1588168418
679,Comment,1588167081
670,Like,1588165552
1931,Emoticon,1588162792
634,Emoticon,1588167116
733,Like,1588162306
7817,Like,1588164535
704,Like,1588168287
687,Comment,1588162592
5187,Emoticon,1588162939
680,Comment,1588166271
698,Emoticon,1588165207
686,Comment,1588162808
66,Like,1588164972
656,Comment,1588162953
2771,Comment,1588164837
654,Comment,1588167484
1509,Comment,1588169198
664,Emoticon,1588166757
7817,Comment,1588169574
664,Comment,1588164368
68,Emoticon,1588163981
7738,Like,1588160896
5187,Comment,1588168514
691,Emoticon,1588161671
75,Comment,1588166014
672,Like,1588168965
683,Like,1588170315
7815,Like,1588162913
637,Like,1588162920
5521,Comment,1588166337
4160,Emoticon,1588164876
9139,Comment,1588166296
678,Like,1588166253
2096,Emoticon,1588166668
1509,Like,1588164421
6525,Comment,1588164865
635,Like,1588167108
5921,Emoticon,1588165944
722,Emoticon,1588164808
